lambda,mu,m,n,theta,tao
0.000010,1,1,65527,195.758894,2.900577
0.000010,1,1,65528,127.274931,2.900661
0.000010,1,1,65529,82.400717,2.900745
0.000010,1,1,65530,52.996366,2.900829
0.000010,1,1,65531,33.728518,2.900913
0.000010,1,1,65532,21.102635,2.900998
0.000010,1,1,65533,12.828979,2.901082
0.000010,1,1,65534,7.407215,2.901166
0.000010,1,1,65535,3.854244,2.901250
0.000010,1,1,65536,1.525879,2.901334
0.000010,10,1,65527,73271706601.179352,0.107012
0.000010,10,1,65528,4801275118.355479,0.107012
0.000010,10,1,65529,314617955.855598,0.107012
0.000010,10,1,65530,20616599.929261,0.107012
0.000010,10,1,65531,1351005.693365,0.107013
0.000010,10,1,65532,88532.654092,0.107013
0.000010,10,1,65533,5801.621888,0.107013
0.000010,10,1,65534,380.097687,0.107013
0.000010,10,1,65535,24.809322,0.107013
0.000010,10,1,65536,1.525879,0.107013
0.000010,100,1,65527,68921460816296738816.000000,0.010066
0.000010,100,1,65528,451621656290947712.000000,0.010066
0.000010,100,1,65529,2959386389343323.000000,0.010066
0.000010,100,1,65530,19392563070727.843750,0.010066
0.000010,100,1,65531,127079465802.469620,0.010066
0.000010,100,1,65532,832764447.340164,0.010066
0.000010,100,1,65533,5457271.966310,0.010066
0.000010,100,1,65534,35763.130377,0.010066
0.000010,100,1,65535,234.360099,0.010066
0.000010,100,1,65536,1.525879,0.010066
0.000010,1000,1,65527,68514678955708481828141662208.000000,0.001001
0.000010,1000,1,65528,44895613679307099383791616.000000,0.001001
0.000010,1000,1,65529,29419197731776367689728.000000,0.001001
0.000010,1000,1,65530,19278106081655738368.000000,0.001001
0.000010,1000,1,65531,12632942915309006.000000,0.001001
0.000010,1000,1,65532,8278493821831.144531,0.001001
0.000010,1000,1,65533,5425062571.321385,0.001001
0.000010,1000,1,65534,3555206.253864,0.001001
0.000010,1000,1,65535,2329.867866,0.001001
0.000010,1000,1,65536,1.525879,0.001001